PARENT/Child,Question,Correct Answer,Tag
PARENT,ielts17AT1001,,
Child,1,ANCIENT GREEK or Ancient Greek or ancient Greek or GREEK or Greek,listen.forcom
Child,2,BENGALI or Bengali,listen.forcom
Child,3,2 or TWO or Two or two,listen.forcom
Child,4,6994 or six thousand nine hundred ninety-four,listen.forcom
Child,5,DATABASES or Databases or databases,listen.forcom
Child,6,4 or four,listen.forcom
Child,7,£60 or 60GBP or GBP60 or 60 pounds or sixty pounds,listen.forcom
Child,8,JUNE or June,listen.forcom
Child,9,16 or SIXTEEN or Sixteen or sixteen,listen.forcom
Child,10,6P.M. or 6PM or 6p.m. or 6pm or 6 P.M. or 6 p.m. or 6 pm or 6 PM or 6:00P.M. or 6:00PM or 6:00p.m. or 6:00pm or 6:00 P.M. or 6:00 PM or 6:00 p.m. or 6:00 pm,listen.forcom
PARENT,ielts17AT1002,,
Child,1,UNIVERSITY or University or university,listen.forcom
Child,2,3 or THREE or Three or three,listen.forcom
Child,3,OFFICE or Office or office,listen.forcom
Child,4,MEETINGS or Meetings or meetings,listen.forcom
Child,5,REQUIRED BOOKS or Required books or Required Books or required books,listen.forcom
Child,6,ID PASSES or ID Passes or ID passes or id passes,listen.forcom
Child,7,PHYSICS or Physics or physics,listen.pmdlab
Child,8,SHOP or Shop or shop,listen.pmdlab
Child,9,BIOLOGY or Biology or biology,listen.pmdlab
Child,10,MEMORIAL FOUNTAIN or Memorial Fountain or Memorial fountain or memorial fountain or FOUNTAIN or Fountain or fountain,listen.pmdlab
PARENT,ielts17AT1003,,
Child,1,C or c,listen.mcq
Child,2,A or a,listen.mcq
Child,3,A or a,listen.mcq
Child,4,C or c,listen.mcq
Child,5,A or a,listen.mcq
Child,6,B or b,listen.mcq
Child,7,A or a,listen.mcq
Child,8,B or b,listen.mcq
Child,9,C or c,listen.mcq
Child,10,C or c,listen.mcq
PARENT,ielts17AT1004,,
Child,1,C or c,listen.mcq
Child,2,B or b,listen.mcq
Child,3,B or b or E or e or G or g,listen.mtc
Child,4,B or b or E or e or G or g,listen.mtc
Child,5,B or b or E or e or G or g,listen.mtc
Child,6,BIRD or Bird or bird,listen.forcom
Child,7,PARK or Park or park,listen.forcom
Child,8,MOSAIC or Mosaic or mosaic,listen.forcom
Child,9,1976,listen.forcom
Child,10,CIVIL WAR or Civil War or Civil war or civil war,listen.forcom
PARENT,ielts17AT1005,,
Child,1,NOT GIVEN or Not Given or not given,read.tfng
Child,2,NOT GIVEN or Not Given or not given,read.tfng
Child,3,TRUE or True or true or T or t,read.tfng
Child,4,FALSE or False or false or F or f,read.tfng
Child,5,FALSE or False or false or F or f,read.tfng
Child,6,TRUE or True or true or T or t,read.tfng
Child,7,NOT GIVEN or Not Given or not given,read.tfng
Child,8,FALSE or False or false or F or f,read.tfng
Child,9,G or g,read.mtcsentend
Child,10,A or a,read.mtcsentend
Child,11,C or c,read.mtcsentend
Child,12,K or k,read.mtcsentend
Child,13,D or d,read.mtcsentend
Child,14,C or c,read.mcq
PARENT,ielts17AT1006,,
Child,1,B or b,read.mtcinfo
Child,2,I or i,read.mtcinfo
Child,3,H or h,read.mtcinfo
Child,4,J or j,read.mtcinfo
Child,5,G or g,read.mtcinfo
Child,6,MULTIPLE SCLEROSIS or Multiple Sclerosis or Multiple sclerosis or multiple sclerosis or MS or M.S.,read.sumcom
Child,7,RELAPSE FORM or Relapse Form or Relapse form or relapse form,read.sumcom
Child,8,10-15% or 10-15% percent or 10-15% per cent or ten-fifteen percent or ten-fifteen per cent or ten to fifteen percent or ten to fifteen per cent,read.sumcom
Child,9,WHERE PEOPLE LIVE or Where People Live or Where people live or where people live,read.sumcom
Child,10,CAUCASIAN or Caucasian,read.sumcom
Child,11,COLDER or Colder or colder,read.sumcom
Child,12,TWIN or Twin or twin,read.sumcom
Child,13,SPINAL CORD or Spinal Cord or Spinal cord or spinal cord,read.sumcom
PARENT,ielts17AT1007,,
Child,1,A or a,read.mcq
Child,2,A or a,read.mcq
Child,3,D or d,read.mcq
Child,4,A or a,read.mcq
Child,5,D or d,read.mcq
Child,6,B or b,read.mcq
Child,7,FALSE or False or false or F or f,read.tfng
Child,8,NOT GIVEN or Not Given or not given,read.tfng
Child,9,FALSE or False or false or F or f,read.tfng
Child,10,FALSE or False or false or F or f,read.tfng
Child,11,TRUE or True or true or T or t,read.tfng
Child,12,NOT GIVEN or Not Given or not given,read.tfng
Child,13,TRUE or True or true or T or t,read.tfng
PARENT,ielts17AT2001,,
Child,1,GONZALEZ or Gonzalez,listen.forcom
Child,2,SHU300715PG or Shu300715pg or shu300715pg,listen.forcom
Child,3,LANGUAGES or Languages or languages,listen.forcom
Child,4,STATION or Station or station,listen.forcom
Child,5,£99 or GBP99 or 99GBP or 99 pounds or ninety-nine pounds,listen.forcom
Child,6,WEST or West or west,listen.forcom
Child,7,2 or TWO or Two or two,listen.forcom
Child,8,C or c or D or d or E or e,listen.mtc
Child,9,C or c or D or d or E or e,listen.mtc
Child,10,C or c or D or d or E or e,listen.mtc
PARENT,ielts17AT2002,,
Child,1,10 or TEN or Ten or ten,listen.forcom
Child,2,STRAIGHTFORWARD WALKING or Straightforward Walking or Straightforward walking or straightforward walking or WALKING or Walking or walking,listen.forcom
Child,3,ROCK CLIMBING or Rock Climbing or Rock climbing or rock climbing,listen.forcom
Child,4,GAVE UP or Gave Up or Gave up or gave up,listen.forcom
Child,5,2 or TWO or Two or two,listen.forcom
Child,6,SCHOOL or School or school,listen.forcom
Child,7,8 or EIGHT or Eight or eight,listen.forcom
Child,8,2 or TWO or Two or two,listen.forcom
Child,9,EXCLUSIVE or Exclusive or exclusive,listen.forcom
Child,10,LARGE or Large or large,listen.forcom
PARENT,ielts17AT2003,,
Child,1,C or c,listen.mcq
Child,2,B or b,listen.mcq
Child,3,B or b,listen.mcq
Child,4,A or a,listen.mcq
Child,5,C or c,listen.mcq
Child,6,A or a,listen.mcq
Child,7,B or b,listen.mcq
Child,8,C or c,listen.mcq
Child,9,C or c,listen.mcq
Child,10,A or a,listen.mcq
PARENT,ielts17AT2004,,
Child,1,B or b,listen.mcq
Child,2,A or a,listen.mcq
Child,3,B or b,listen.mcq
Child,4,C or c,listen.mcq
Child,5,MIDDLE or Middle or middle,listen.forcom
Child,6,GAP or Gap or gap,listen.forcom
Child,7,"£3,500 or £3500 or GBP3,500 or GBP3500 or 3,500GBP or 3500GBP or THREE THOUSAND FIVE HUNDRED POUNDS or Three Thousand Five Hundred Pounds or Three thousand five hundred pounds or three thousand five hundred pounds",listen.forcom
Child,8,WORTHWHILE or Worthwhile or worthwhile,listen.forcom
Child,9,FEE or Fee or fee,listen.forcom
Child,10,COMMISSION or Commission or commission,listen.forcom
PARENT,ielts17AT2005,,
Child,1,B or b,read.mcq
Child,2,A or a,read.mcq
Child,3,D or d,read.mcq
Child,4,WEALTH or Wealth or wealth or MONEY or Money or money,read.sentcom
Child,5,RELATIVE or Relative or relative,read.sentcom
Child,6,OTHER PEOPLE or Other People or other people,read.sentcom
Child,7,NO or No or no or N or n,read.ynng
Child,8,NOT GIVEN or Not Given or Not given or not given,read.ynng
Child,9,YES or Yes or yes or Y or y,read.ynng
Child,10,G or g,read.mtcinfo
Child,11,D or d,read.mtcinfo
Child,12,H or h,read.mtcinfo
Child,13,C or c,read.mtcinfo
PARENT,ielts17AT2006,,
Child,1,B or b or C or c or F or f or G or g or I or i,read.mtcinfo
Child,2,B or b or C or c or F or f or G or g or I or i,read.mtcinfo
Child,3,B or b or C or c or F or f or G or g or I or i,read.mtcinfo
Child,4,B or b or C or c or F or f or G or g or I or i,read.mtcinfo
Child,5,B or b or C or c or F or f or G or g or I or i,read.mtcinfo
Child,6,FALSE or False or false or F or f,read.tfng
Child,7,FALSE or False or false or F or f,read.tfng
Child,8,NOT GIVEN or Not Given or Not given or not given,read.tfng
Child,9,FALSE or False or false or F or f,read.tfng
Child,10,FALSE or False or false or F or f,read.tfng
Child,11,TRUE or True or true or T or t,read.tfng
Child,12,NOT GIVEN or Not Given or Not given or not given,read.tfng
Child,13,TRUE or True or true or T or t,read.tfng
PARENT,ielts17AT2007,,
Child,1,VII or vii,read.mtchead
Child,2,I or i,read.mtchead
Child,3,X or x,read.mtchead
Child,4,II or ii,read.mtchead
Child,5,VIII or viii,read.mtchead
Child,6,V or v,read.mtchead
Child,7,SECURE or Secure or secure or SAFE or Safe or safe,read.sumcom
Child,8,CODE MAKERS or Code Makers or Code makers or code makers,read.sumcom
Child,9,PUBLIC or Public or public or PRIVATE or Private or private or PUBLIC KEY or Public Key or Public key or public key or PRIVATE KEY or Private Key or Private key or private key,read.sumcom
Child,10,PUBLIC or Public or public or PRIVATE or Private or private or PUBLIC KEY or Public Key or Public key or public key or PRIVATE KEY or Private Key or Private key or private key,read.sumcom
Child,11,NOT GIVEN or Not Given or Not given or not given,read.ynng
Child,12,YES or Yes or yes or Y or y,read.ynng
Child,13,NO or No or no or N or n,read.ynng
Child,14,NOT GIVEN or Not Given or Not given or not given,read.ynng
PARENT,ielts17AT3001,,
Child,1,JOHN SPARROW or John Sparrow,listen.forcom
Child,2,24th January or 24 January or January 24 or 24th Jan or 24 Jan or Jan 24,listen.forcom
Child,3,"ATHENS, GREECE or ATHENS GREECE or Athens, Greece or Athens Greece",listen.forcom
Child,4,9.45,listen.forcom
Child,5,HYPNOS or Hypnos or hypnos,listen.forcom
Child,6,95 EUROS or 95 Euros or 95 EURO or 95 Euro or €95 or 95€,listen.forcom
Child,7,LIGHT MEAL or Light Meal or Light meal or light meal,listen.sentcom
Child,8,ASIAN VEGETARIAN or Asian Vegetarian or Asian vegetarian,listen.sentcom
Child,9,DAIRY PRODUCTS or Dairy Products or Dairy products or dairy products,listen.sentcom
Child,10,24 hours or 24 HOURS or 24 hrs or 24 HRS or 24 hr or 24 HR or TWENTY-FOUR HOURS or Twenty-Four Hours or Twenty-four Hours or Twenty-four hours or twenty-four hours,listen.sentcom
PARENT,ielts17AT3002,,
Child,1,A or a or C or c or D or d or E or e,listen.mtc
Child,2,A or a or C or c or D or d or E or e,listen.mtc
Child,3,A or a or C or c or D or d or E or e,listen.mtc
Child,4,A or a or C or c or D or d or E or e,listen.mtc
Child,5,C or c,listen.mcq
Child,6,B or b,listen.mcq
Child,7,C or c,listen.mcq
Child,8,DIFFERENT NAME or Different Name or Different name or different name,listen.sentcom
Child,9,SOCIAL MEDIA or Social Media or Social media or social media,listen.sentcom
Child,10,READY FOR EDITING or Ready For Editing or Ready for editing or ready for editing,listen.sentcom
PARENT,ielts17AT3003,,
Child,1,A or a,listen.mcq
Child,2,B or b,listen.mcq
Child,3,C or c,listen.mcq
Child,4,A or a,listen.mcq
Child,5,B or b,listen.mcq
Child,6,ALMOST EQUAL or Almost Equal or Almost equal or almost equal,listen.sentcom
Child,7,17.97,listen.sentcom
Child,8,5 or FIVE or Five or five,listen.sentcom
Child,9,MILD DEPRESSION or Mild Depression or Mild depression or mild depression,listen.sentcom
Child,10,DROP-OUT RATE or Drop-Out Rate or Drop-out Rate or Drop-out rate or drop-out rate,listen.sentcom
PARENT,ielts17AT3004,,
Child,1,"2.1 BILLION or 2.1 Billion or 2.1 billion or 2,100,000,000 or 2100000000 or TWO POINT ONE BILLION or Two Point One Billion or Two point one billion or two point one billion",listen.shans
Child,2,GERMAN or German,listen.shans
Child,3,NON-NATIVE SPEAKERS or Non-Native Speakers or Non-native Speakers or Non-native speakers or non-native speakers,listen.shans
Child,4,ENGLISHES or Englishes,listen.shans
Child,5,TROUSERS or Trousers or trousers,listen.shans
Child,6,LATIN or Latin,listen.shans
Child,7,ROMANCE LANGUAGES or Romance Languages or Romance languages or ROMANCE or Romance,listen.shans
Child,8,B or b,listen.mcq
Child,9,A or a,listen.mcq
Child,10,C or c,listen.mcq
PARENT,ielts17AT3005,,
Child,1,D or d,read.mtcinfo
Child,2,F or f,read.mtcinfo
Child,3,G or g,read.mtcinfo
Child,4,A or a,read.mtcinfo
Child,5,C or c,read.mtcinfo
Child,6,B or b,read.mtcinfo
Child,7,E or e,read.mtcinfo
Child,8,FALSE or False or false or F or f,read.tfng
Child,9,NOT GIVEN or Not Given or Not given or not given,read.tfng
Child,10,NOT GIVEN or Not Given or Not given or not given,read.tfng
Child,11,TRUE or True or true or T or t,read.tfng
Child,12,MEMORY or Memory or memory,read.sumcom
Child,13,FUNCTION or Function or function,read.sumcom
Child,14,TEACH or Teach or teach,read.sumcom
PARENT,ielts17AT3006,,
Child,1,HENLEY BEACH or Henley Beach,read.sumcom
Child,2,CAUSE OF DEATH or Cause Of Death or Cause of Death or Cause of death or cause of death,read.sumcom
Child,3,SECRET CODE or Secret Code or Secret code or secret code or CODE or Code or code,read.sumcom
Child,4,PHONE NUMBER or Phone Number or Phone number or phone number or NUMBER or Number or number,read.sumcom
Child,5,MOSELEY STREET or Moseley Street,read.sumcom
Child,6,GUARDED AND NON-COMMITTAL or Guarded And Non-Committal or Guarded And Non-committal or Guarded and Non-Committal or Guarded and Non-committal or Guarded and non-committal or guarded and non-committal,read.sumcom
Child,7,F or f,read.mtcsentend
Child,8,D or d,read.mtcsentend
Child,9,C or c,read.mtcsentend
Child,10,A or a,read.mtcsentend
Child,11,D or d,listen.mcq
Child,12,B or b,listen.mcq
Child,13,C or c,listen.mcq
Child,14,D or d,listen.mcq
PARENT,ielts17AT3007,,
Child,1,IX or ix,read.mtchead
Child,2,III or iii,read.mtchead
Child,3,I or i,read.mtchead
Child,4,VII or vii,read.mtchead
Child,5,VI or vi,read.mtchead
Child,6,V or v,read.mtchead
Child,7,POLEIS or Poleis or poleis,read.shans
Child,8,A TURTLE or A Turtle or A turtle or a turtle or TURTLE or Turtle or turtle,read.shans
Child,9,6 OBOLS or 6 Obols or 6 obols or SIX OBOLS or Six Obols or Six obols or six obols,read.shans
Child,10,BRONZE BARS or Bronze Bars or Bronze bars or bronze bars,read.shans
Child,11,B or b,listen.mcq
Child,12,C or c,listen.mcq
PARENT,ielts17AT4001,,
Child,1,FENTON or Fenton,listen.forcom
Child,2,19th May or 19 May or May 19 or May 19th,listen.forcom
Child,3,YES or Yes or yes or Y or y,listen.forcom
Child,4,MIXED BREED or Mixed Breed or Mixed breed or mixed breed,listen.forcom
Child,5,PISCHINGER or Pischinger,listen.forcom
Child,6,020 3634 7957 or 02036347957,listen.forcom
Child,7,12 or TWELVE or Twelve or twelve,listen.forcom
Child,8,8 or EIGHT or Eight or eight,listen.forcom
Child,9,MEDICAL HISTORY or Medical History or Medical history or medical history,listen.forcom
Child,10,VETERINARY or Veterinary or veterinary,listen.forcom
PARENT,ielts17AT4002,,
